"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"56",3.98955606140325,2.82233647396818,1.5494550433305,-8.34063299910287,-2.88975511236039
"23",11.8702040780874,7.09999930249443,-4.31787010190143,5.39602509408919,1.0516515894502
"66",2.04809931221752,-12.8649503058987,9.02810990851595,4.53260298143597,-1.20151038120213
"63",3.54620153212678,1.18185476276935,3.16383139363066,-7.83916153217156,-2.89272802168478
"10",-3.97471163855939,-8.64383887281765,10.6636396568428,3.45718303124068,-0.987586491479598
"50",4.6043383097217,5.18782360467968,0.444795373037269,-3.37431796362753,-4.07964649631622
"104",-4.57135831924856,-4.93073173630218,9.75264789977357,2.6470658961912,-6.16468506599549
"138",-10.727464090305,1.95877424957799,5.01098067833361,-0.134397754225317,5.06347595757322
"114",4.0212912653598,2.35942866586462,0.818376913713248,-9.62001214688928,-2.12472051719589
"88",3.85653444577572,2.60689780767645,1.13114760162825,-7.28930468026434,-3.58180192931962
"111",3.91984385599719,2.31545319480174,1.82756856422415,-8.65032781293356,-3.07538306136807
"6",5.49446609061119,2.3245568704296,-1.74132030163665,7.44437320762722,-0.256397971070063
"21",3.65491601542612,2.29058393252595,2.84513499195819,-7.14865920952989,-0.0269491380270004
"29",2.55219433145838,-13.1338030330715,9.71763548740957,4.38393041188408,0.743812802648114
"70",11.5667628677477,6.41822141557711,-3.9794596135829,5.4408098675759,1.01898350923322
"161",1.60085436973447,-13.0892572151628,7.32840342368678,5.74802133069953,-2.32449172310384
"93",11.9200802788956,6.59942129147855,-3.83481311848886,5.89387311346895,0.308268928750434
"130",3.70971998930809,2.03350371689959,1.66012325084177,-8.77331048128134,-2.87051508798896
"99",11.7944967432673,6.91339132906477,-4.10492463017354,4.93178785450699,0.718848819511386
"152",3.00524400899614,-11.4918651663377,8.80120220394494,6.21056634488243,-2.20349322946473
"79",11.6849296527949,5.80472496585361,-3.70603679632641,6.09212048101461,0.663616358043931
"166",3.61713947477579,2.01272933812438,2.51573217551901,-8.24928725757398,-4.03606998790974
"144",1.49798245869303,-13.508379209256,7.18044018294548,5.75094277942294,-2.44185246882024
"37",4.30497045365324,4.03811409231039,1.14154510599393,-8.05454472052805,-1.7366696732816
"80",-2.83814580645335,-4.01248932155675,8.05926172169681,6.36657281116694,-5.15329846822887
"112",3.88761648047884,3.98333222111918,1.21200266678986,-8.0264628927757,-1.28821812017577
"49",3.54208215236006,2.77627557263493,1.54827444740776,-8.69884569214903,-2.8135436447521
"97",4.53610801554813,5.07968395057383,-0.260754254501694,-3.30830034336089,-4.63766661175565
"47",4.43079996920757,6.59763588192472,-1.62923499812739,-0.989635155952977,-2.40236517660449
"141",-11.9525275501489,5.59810448572166,-1.58830973178249,-0.269005760545205,6.40039267934278
"62",11.5667628677477,6.41822141557711,-3.9794596135829,5.4408098675759,1.01898350923322
"120",-3.0845531968828,-5.38085123351109,9.03725705032718,2.31955154300471,-1.8704491370397
"78",-4.4788579803832,-7.53005497887283,7.56100387408479,0.60998021705613,-1.63149156746994
"75",3.56843050478465,5.09338830537506,-0.877434646714521,-3.464615222142,-3.75924526399468
"72",2.33832645656374,-13.1998172689575,8.43930067662245,5.68238044868666,-2.04825716014297
"19",3.46853727019162,-9.25390057674079,8.26397855969885,8.89743934681806,-2.17868368888169
"96",-7.52439941182691,7.92650756250582,1.69424548225924,4.33450231933419,-6.82628122212763
"74",-2.68130972003089,-6.33148567464208,9.2659245696691,1.55123973239104,-4.33560948478346
"102",-3.12452560504708,-5.41002785464768,9.13783933561458,2.18479029713797,-2.19645009171643
"81",10.943161034563,4.53910056288164,-1.98788938122922,6.99585418803297,2.53857209569395
"44",10.7507849894784,4.35701720677044,-1.93097030602359,7.15084987695354,2.53657547850725
"65",4.56183820015506,-9.51853899658958,8.76587162856851,4.51596897223404,-1.65094588964304
"108",-8.2547552170193,6.4293606682592,-3.21019925379446,9.87973199628943,15.0533960289537
"147",-3.93495448177229,-6.89303630286147,9.3711191417074,1.56581891649904,-2.03594011298837
"64",11.8847500918815,2.80331626201043,-3.25367600588334,3.91806384176956,-2.86881911831294
"140",11.4851841416483,2.72261184782401,-3.07025571879534,5.11461998126364,-3.41664738982226
"94",2.56262966709925,2.63994724269717,1.40573271819874,-8.79618986378741,-2.24575712312412
